"workerId","datasetObjectId","text","label","rationale"
"public.us-east-1.A19TD2J8506A4Y","8","CNN anchor Chris Cuomo was quick to defend climate activist Greta Thunberg from ""Trumpers"" who mocked her on Thursday but was quickly reminded about the settlement his network recently made with Covington Catholic High School student Nick Sandmann.","Unbiased","There is nothing biased about defending somebody from attacks from people of different political beliefs."
"public.us-east-1.A2CFI1X8OKYIL2","8","CNN anchor Chris Cuomo was quick to defend climate activist Greta Thunberg from ""Trumpers"" who mocked her on Thursday but was quickly reminded about the settlement his network recently made with Covington Catholic High School student Nick Sandmann.","Unbiased","Although this news seems to come from a potentially conservative news outlet, I would not say it is biased because it is simply reporting on Cuomo, Turnberg, and Sandmann and not stating whether they like or dislike these individuals or their behavior."
"public.us-east-1.A2HMEGTAFO0CS8","1","The media have tried to convince voters of Trump's failure for many years, but have thus far been unable to do so. Tuesday's special elections show we should hold off on the ""Blue Wave"" and ""Trump can't win"" narratives.","Biased","the statement regarding trump's failure makes biased "
"public.us-east-1.A32B8FMRQ04EMF","1","The media have tried to convince voters of Trump's failure for many years, but have thus far been unable to do so. Tuesday's special elections show we should hold off on the ""Blue Wave"" and ""Trump can't win"" narratives.","Unbiased","Triump can do anything for won the election and he don't need media support."
"public.us-east-1.A2HMEGTAFO0CS8","0","This is all great news. It now looks like we have a safe, highly effective vaccine that has the potential to significantly reduce many forms of cancer. So why is it also becoming a key target of many anti-vaxxers?","Biased","this is very biased- vaccine that has the potential to significantly reduce many forms of cancer"
"public.us-east-1.A382SL9ROIY1P6","0","This is all great news. It now looks like we have a safe, highly effective vaccine that has the potential to significantly reduce many forms of cancer. So why is it also becoming a key target of many anti-vaxxers?","Biased","This type of vaccine will only work if a person gets the vaccine before they are infected with the virus."
"public.us-east-1.ALYQ3LDA8N6Z5","7","Transgender ideology says each persons’ preferences are — and should be — unconnected from their bodies. It says that men and women are interchangeable, and can switch their sex by switching their own sense of ""gender identity"" so that men who say they are women really do become biological women, complete with female penises.","Unbiased","good very nice"
"public.us-east-1.A2TO6N1MTMQD1B","7","Transgender ideology says each persons’ preferences are — and should be — unconnected from their bodies. It says that men and women are interchangeable, and can switch their sex by switching their own sense of ""gender identity"" so that men who say they are women really do become biological women, complete with female penises.","Unbiased","because they are not fully transformed"
"public.us-east-1.A3OJMQGEB33E00","3","The whole anti-vaxx (as it became known) thing was nuts, a way for fading celebrities to pretend to be the vanguard of a Great Cause that Saved The Children from a sinister government conspiracy.","Biased","Obviously leans towards Liberal views. "
"public.us-east-1.A2HMEGTAFO0CS8","3","The whole anti-vaxx (as it became known) thing was nuts, a way for fading celebrities to pretend to be the vanguard of a Great Cause that Saved The Children from a sinister government conspiracy.","Unbiased","the statement regarding anti vaxx makes unbiased "
"public.us-east-1.A2CFI1X8OKYIL2","5","After dozens of mass shootings in recent years, however, including at schools like the February 2018 massacre in Parkland, Florida, that left 17 dead, curbing gun violence has become a component of the Democratic policy platform embraced by congressional and presidential candidates.","Unbiased","The statement includes the democrats opinions and policies, not the author's, so I would consider it unbiased."
"public.us-east-1.A1D321NM47DMJ0","5","After dozens of mass shootings in recent years, however, including at schools like the February 2018 massacre in Parkland, Florida, that left 17 dead, curbing gun violence has become a component of the Democratic policy platform embraced by congressional and presidential candidates.","Unbiased","it is unbiased."
"public.us-east-1.A1XH05IKC77OXO","2","In March, President Trump signed an executive order closing the southern border to stop the spread of the virus from undocumented immigrants who are possibly infected.","Biased","Good"
"public.us-east-1.A85HRNU9N5UNU","2","In March, President Trump signed an executive order closing the southern border to stop the spread of the virus from undocumented immigrants who are possibly infected.","Unbiased","Because he thought to save other people by stop or spreading virus through out the world"
"public.us-east-1.A18FY0P87H4A5O","5","Donald Trump became the first U.S. president to attend the annual March for Life in Washington on Friday, unleashing a fierce attack on his Democratic rivals during a rally in an election-year show of support for opponents of abortion rights.","Biased","i have attend the ,march for life in washington."
"public.us-east-1.A2NX8I06A12P3I","5","Donald Trump became the first U.S. president to attend the annual March for Life in Washington on Friday, unleashing a fierce attack on his Democratic rivals during a rally in an election-year show of support for opponents of abortion rights.","Biased","Biased. This news doesn't have a source, it just influences a reader's opinion on top of Donald Trump and Democrats."
"public.us-east-1.A3U9H2L21GLQDY","9","Facebook Chief Operating Officer Sheryl Sandberg has recently donated $1 million to Planned Parenthood Action Fund. In an interview with HuffPost, Sandberg said she was motivated by the ""draconian laws"" protecting unborn children recently passed in red states like Alabama, Missouri, and Georgia.","Biased","ITS NOT BIASED ITS LOOKS LIKE MOTIVATING "
"public.us-east-1.A2HMEGTAFO0CS8","9","Facebook Chief Operating Officer Sheryl Sandberg has recently donated $1 million to Planned Parenthood Action Fund. In an interview with HuffPost, Sandberg said she was motivated by the ""draconian laws"" protecting unborn children recently passed in red states like Alabama, Missouri, and Georgia.","Biased","Sheryl Sandberg has recently donated $1 million to Planned Parenthood Action Fund that makes me biased "
"public.us-east-1.ALYQ3LDA8N6Z5","3","Of all the pandering showcased during Democrats’ attempts to win back the presidency, wiping out student debt ranked at or near the top.","Biased","good very nice"
"public.us-east-1.A2TO6N1MTMQD1B","3","Of all the pandering showcased during Democrats’ attempts to win back the presidency, wiping out student debt ranked at or near the top.","Unbiased","because of  all the pandering showcased during Democrats’ attempts to win back the presidency, wiping out student debt ranked at or near the top"
"public.us-east-1.A2FRIVYVIK37V1","9","The man behind a petition drive to recall a California state senator and physician pushing for tougher vaccine requirements was charged on Wednesday with assault after livestreaming himself shoving the lawmaker in a sidewalk confrontation in Sacramento.","Biased","The man behind a petition drive to recall a California state senator and physician pushing for tougher vaccine requirements"
"public.us-east-1.A26MRON9XGPVB5","9","The man behind a petition drive to recall a California state senator and physician pushing for tougher vaccine requirements was charged on Wednesday with assault after livestreaming himself shoving the lawmaker in a sidewalk confrontation in Sacramento.","Unbiased","The source is clear and direct. I find the information to be totally factual without any sides being taken or opinions being provided about any particular social group."
"public.us-east-1.A2H2DJL45BZBD","1","Trump, who opted against giving a Super Bowl pregame interview last year, made several eyebrow-raising remarks during his interview with host Margaret Brennan, touching on topics including his plan to withdraw U.S. troops from Syria and whether he would let his 12-year-old son play football.","Biased","For the most part it is simple facts but adding in eye-brow raising remarks turned it into more of an opinion based bias."
"public.us-east-1.A2ZM10511OH8WY","1","Trump, who opted against giving a Super Bowl pregame interview last year, made several eyebrow-raising remarks during his interview with host Margaret Brennan, touching on topics including his plan to withdraw U.S. troops from Syria and whether he would let his 12-year-old son play football.","Biased","The eyebrow-raising explanation is totally unnecessery and seem a way to caricature Trump more than a way to explicitely relate a fact. Biased"
"public.us-east-1.A2H2DJL45BZBD","4","Hundreds of white nationalists lined the streets of Charlottesville, Va., last Saturday to protest the removal of a Confederate monument. Some waved Confederate and Nazi flags, others brandished shields.","Biased","Biased. Putting everyone their into the bubble of white nationalist is an assumption. An ordinary person could be involved in protesting the removal of a historical monument based on merit alone."
"public.us-east-1.A2ZM10511OH8WY","4","Hundreds of white nationalists lined the streets of Charlottesville, Va., last Saturday to protest the removal of a Confederate monument. Some waved Confederate and Nazi flags, others brandished shields.","Unbiased","No emotion is related there or some stretching of the reality. It's all facts. Unbiased"
"public.us-east-1.A1FVXS8IM5QYO8","5","This is how Warren has pushed the boundaries of progressive policy since coming to Washington. Instead of relying on the traditional D.C. think tank world, she made her office into her very own think tank.","Unbiased","I don't believe this is biased, because it shows no favoritism towards anyone, it is simply stating how Elizabeth Warren is using her own think tank rather than relying on traditional methods in regards to progressive policy."
"public.us-east-1.A2H2DJL45BZBD","5","This is how Warren has pushed the boundaries of progressive policy since coming to Washington. Instead of relying on the traditional D.C. think tank world, she made her office into her very own think tank.","Biased","Biased based on a singular persons view point of the situation. Not an objective statement. "
"public.us-east-1.AM8ZEA3RDPGSA","7","Bevin’s downplaying of the necessity of vaccines is reckless — but deliberately infecting his children is much more so.","Unbiased","reason for but deliberately infecting his children is much more so.       "
"public.us-east-1.A2H2DJL45BZBD","7","Bevin’s downplaying of the necessity of vaccines is reckless — but deliberately infecting his children is much more so.","Biased","Clear bias. Simply stated an opinion on what they felt about the matter."
"public.us-east-1.A2ZM10511OH8WY","7","Meanwhile, uneven enforcement across the platform means a person or page may be disciplined or banned while a related group continues to operate.","Unbiased","Saying that enforcement is not equally distributed across the platform is unbiased because you can put number on that affirmation. It's not just a feeling from someone, it's something verifiable."
"public.us-east-1.A2H2DJL45BZBD","7","Meanwhile, uneven enforcement across the platform means a person or page may be disciplined or banned while a related group continues to operate.","Unbiased","This isn't biased, this can be statistically proven. Platforms are data-driven."
"public.us-east-1.A2NX8I06A12P3I","5","The Democratic-led House backed Wednesday its first major gun-control legislation in years, but Republicans used the debate over it to try to put a focus on illegal immigration. ","Biased","It is biased, as it links Democrats to gun control and Republicans to illegal immigration."
"public.us-east-1.A26MRON9XGPVB5","5","The Democratic-led House backed Wednesday its first major gun-control legislation in years, but Republicans used the debate over it to try to put a focus on illegal immigration. ","Biased","The level of political involvement make it seem like some particular party deserves more blame than another. This is a clear instance of biased reporting."
"public.us-east-1.AOPA6R7JGGLOS","1","After a two month shutdown, professional sports slowly began to re-emerge from under the COVID-19 cloud during the weekend as several events returned to television — all without fans in attendance.","Biased","it is safe moment and people don't go outside."
"public.us-east-1.A26MRON9XGPVB5","1","After a two month shutdown, professional sports slowly began to re-emerge from under the COVID-19 cloud during the weekend as several events returned to television — all without fans in attendance.","Unbiased","The facts presented are clear and can be verified by consulting an external news source. The information seems trustworthy and written in a matter-of-fact style of reporting."
"public.us-east-1.A3OJMQGEB33E00","8","It is also worth noting that the ""white nationalist"" in question, Patrick Casey, does not claim to be a white nationalist but an identitarian activist, a group the far-left media regularly attack as racist.","Biased","States a political affiliation. "
"public.us-east-1.A2HMEGTAFO0CS8","8","It is also worth noting that the ""white nationalist"" in question, Patrick Casey, does not claim to be a white nationalist but an identitarian activist, a group the far-left media regularly attack as racist.","Biased","the statement regarding "" Patrick Casey, does not claim to be a white nationalist "" makes biased "
"public.us-east-1.A31JKAMYB4IB7","9","Russia President Vladimir Putin joked Wednesday that he is going to interfere in the 2020 presidential elections.","Unbiased","Because Vladimir Putin likes to enroll himself in 2020 presidential elections."
"public.us-east-1.A2ZM10511OH8WY","9","Russia President Vladimir Putin joked Wednesday that he is going to interfere in the 2020 presidential elections.","Biased","The revelation here is kind of big. We need more details about what kind of joke it is. Biased"
"public.us-east-1.A3OJMQGEB33E00","2","Tensions between Trump and the messaging platform escalated last week after Twitter began to label some of his tweets with a fact-check. Trump responded with an executive order that threatens to curtail some legal protections enjoyed by social media companies.","Unbiased","Facts are stated without any political messaging. "
"public.us-east-1.A2ZVTI2GBTU859","2","Tensions between Trump and the messaging platform escalated last week after Twitter began to label some of his tweets with a fact-check. Trump responded with an executive order that threatens to curtail some legal protections enjoyed by social media companies.","Biased","Biased"
"public.us-east-1.A3AM8ZUWRFM6KU","9","In a bid to stop the spread of the virus, Malaysia’s religious affairs minister has issued guidelines for holding Friday prayers at mosques, including shortening sermons and for the wudhu, or ablution rites, to be carried out at home if possible.","Unbiased","good thing"
"public.us-east-1.A2ZVTI2GBTU859","9","In a bid to stop the spread of the virus, Malaysia’s religious affairs minister has issued guidelines for holding Friday prayers at mosques, including shortening sermons and for the wudhu, or ablution rites, to be carried out at home if possible.","Biased","Biased"
"public.us-east-1.A3OJMQGEB33E00","1","While emphasizing he’s not singling out either party, Cohen warned about the danger of normalizing white supremacist ideology.","Unbiased","Simply stating the facts of the matter. "
"public.us-east-1.A2ZVTI2GBTU859","1","While emphasizing he’s not singling out either party, Cohen warned about the danger of normalizing white supremacist ideology.","Biased","Biased"
"public.us-east-1.A2FRIVYVIK37V1","6","State-backed hackers from China have targeted staffers working on the U.S. presidential campaign of Democrat Joe Biden, a senior Google security official said on Thursday. The same official said Iranian hackers had recently targeted email accounts belonging to Republican President Donald Trump’s campaign staff.","Unbiased","The same official said Iranian hackers had recently targeted email accounts belonging to Republican President Donald Trump’s campaign staff."
"public.us-east-1.A2NX8I06A12P3I","6","State-backed hackers from China have targeted staffers working on the U.S. presidential campaign of Democrat Joe Biden, a senior Google security official said on Thursday. The same official said Iranian hackers had recently targeted email accounts belonging to Republican President Donald Trump’s campaign staff.","Unbiased","It's not biased because it doesn't support a specific side, it just quotes news linked to both political sides."
"public.us-east-1.A3I3IFFQW3CB1P","2","While the overwhelming majority of Americans choose to have their children vaccinated, the number of children who go completely unvaccinated is rising.","Biased","Using a combination of surveys and focus groups, the KFF COVID-19 Vaccine Monitor will track the dynamic nature of public reactions as vaccine development "
"public.us-east-1.A2H2DJL45BZBD","2","While the overwhelming majority of Americans choose to have their children vaccinated, the number of children who go completely unvaccinated is rising.","Unbiased","The statement was simply stating statistics. There are Americans who choose to not vaccinate their children. There isn't any inherent personal belief injected into the statement."
"public.us-east-1.A2FRIVYVIK37V1","2","YouTube is making clear there will be no ""birtherism"" on its platform during this year’s U.S. presidential election – a belated response to a type of conspiracy theory more prevalent in the 2012 race.","Biased","""birtherism"" on its platform during this year’s U.S. presidential election"
"public.us-east-1.A1FVXS8IM5QYO8","2","YouTube is making clear there will be no ""birtherism"" on its platform during this year’s U.S. presidential election – a belated response to a type of conspiracy theory more prevalent in the 2012 race.","Biased","I believe this is biased because it refers to ""birtherism"" as a type of conspiracy theory. "
"public.us-east-1.A2CFI1X8OKYIL2","7","Angry Democrats blamed Republicans for what they see as a debacle that could leave millions of Americans without health care. ","Unbiased","The author states how the democrats feel and whom they are blaming, and since they do not state how they feel or who they blame, I would consider this unbiased."
"public.us-east-1.A2HMEGTAFO0CS8","7","Angry Democrats blamed Republicans for what they see as a debacle that could leave millions of Americans without health care. ","Biased","the statement regarding ""  Angry Democrats"" makes biased "
"public.us-east-1.A2NX8I06A12P3I","8","Things look less promising in the U.S. Last week, the Environmental Protection Agency confirmed that the Trump administration had relaxed enforcement of regulations to help polluting industries deal with the pandemic.","Biased","It is biased because it negatively cites actions by the Trump administration from the author's point of view, the text has no name source, it only cites that an agency confirmed it, but does not indicate further details of this confirmation."
"public.us-east-1.A1XH05IKC77OXO","8","Things look less promising in the U.S. Last week, the Environmental Protection Agency confirmed that the Trump administration had relaxed enforcement of regulations to help polluting industries deal with the pandemic.","Unbiased","GOOD"
"public.us-east-1.A3OJMQGEB33E00","1","James Steckelberg of the Mayo Clinic said people 65 and over should be administered high-dose flu vaccines to stimulate their immune system. ","Unbiased","It plainly states the facts without an opinion. "
"public.us-east-1.A2NX8I06A12P3I","1","James Steckelberg of the Mayo Clinic said people 65 and over should be administered high-dose flu vaccines to stimulate their immune system. ","Unbiased","Unbiased. There is no influence, negative or positive, in this passage."
"public.us-east-1.A3OJMQGEB33E00","5","Sen. Bernie Sanders on Tuesday unveiled a massive tax on the wealthiest Americans that aims to diminish income inequality -- a central theme of his campaign -- and at least begin to finance the steep price tags for the numerous government programs the Democratic presidential candidate is proposing.","Unbiased","Stating the facts without a political slant."
"public.us-east-1.A2HMEGTAFO0CS8","5","Sen. Bernie Sanders on Tuesday unveiled a massive tax on the wealthiest Americans that aims to diminish income inequality -- a central theme of his campaign -- and at least begin to finance the steep price tags for the numerous government programs the Democratic presidential candidate is proposing.","Biased","Bernie Sanders's campaign  makes biased "
"public.us-east-1.A31JKAMYB4IB7","7","The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.","Biased","The National Women’s Hockey League need to be expanded."
"public.us-east-1.A2ZM10511OH8WY","7","The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.","Unbiased","It's well known by everyone that some city in canada has some healthy rivalry in Hockey. That make this affirmation believable and trustable. Unbiased"
"public.us-east-1.A2HMEGTAFO0CS8","7","For a lazy narcissist like Trump, that must have been a life-altering realization: Hollywood fakery can make even the biggest idiot appear smart and capable. So he has spent the entire presidency, which he thinks of more as a fake TV job than a real one, using photo-ops, pep rallies and other stunts to try to shape an image of himself as sharp and tough, an image that runs totally counter to reality.","Biased","the word is biased  ""lazy narcissist like Trump"""
"public.us-east-1.A382SL9ROIY1P6","7","For a lazy narcissist like Trump, that must have been a life-altering realization: Hollywood fakery can make even the biggest idiot appear smart and capable. So he has spent the entire presidency, which he thinks of more as a fake TV job than a real one, using photo-ops, pep rallies and other stunts to try to shape an image of himself as sharp and tough, an image that runs totally counter to reality.","Biased","Trump has retained the loyal backing of many voters despite scandal, outrage, and chaos"
"public.us-east-1.A2FRIVYVIK37V1","7","But the national and global trends spin a tale of two separate realities. An irrational fear of vaccines among well-educated and largely white Americans has fueled an utterly preventable and dangerous disease that had been considered ""eliminated"" by scientists.","Biased","An irrational fear of vaccines among well-educated and largely white Americans has fueled an utterly preventable and dangerous disease that had been considered ""eliminated"" by scientists."
"public.us-east-1.A1D321NM47DMJ0","7","But the national and global trends spin a tale of two separate realities. An irrational fear of vaccines among well-educated and largely white Americans has fueled an utterly preventable and dangerous disease that had been considered ""eliminated"" by scientists.","Biased","good"
"public.us-east-1.A3NHOKR2PMLTZV","6","After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","Unbiased","This is just stating facts there is no opinion with it."
"public.us-east-1.AGAT893M4QLHD","6","After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ","Unbiased","This is a normal report of a fetal"
"public.us-east-1.A3OJMQGEB33E00","0","However, the GOP tax cuts benefited small business and the middle class — not just the wealthy, as several Democrat candidates have suggested.","Unbiased","Simply stating the facts of the matter. "
"public.us-east-1.A2HMEGTAFO0CS8","0","However, the GOP tax cuts benefited small business and the middle class — not just the wealthy, as several Democrat candidates have suggested.","Biased","The statement regarding GOP tax cuts makes biased "
"public.us-east-1.A31JKAMYB4IB7","7","The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.","Biased","The National Women’s Hockey League is very important"
"public.us-east-1.A2CFI1X8OKYIL2","7","The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.","Unbiased","The statement is simply reporting on a hockey team expanding, not whether they like or dislike it and therefore I would say it is unbiased."
"public.us-east-1.A3OJMQGEB33E00","3","Samoan authorities have blamed low coverage rates in part to fears sparked by the deaths of two babies last year after vaccinations that put a temporary halt on immunisation efforts.","Unbiased","It states the facts, no opinions or political messaging. "
"public.us-east-1.A3AM8ZUWRFM6KU","3","Samoan authorities have blamed low coverage rates in part to fears sparked by the deaths of two babies last year after vaccinations that put a temporary halt on immunisation efforts.","Biased","biased"
"public.us-east-1.ALYQ3LDA8N6Z5","8","Amazon first refused to publish a book skeptical of the mainstream narrative on the novel Wuhan coronavirus while still continuing to promote works by anarchists and Adolf Hitler.","Unbiased","very nice"
"public.us-east-1.A2HMEGTAFO0CS8","8","Amazon first refused to publish a book skeptical of the mainstream narrative on the novel Wuhan coronavirus while still continuing to promote works by anarchists and Adolf Hitler.","Biased","The statement regarding "" Amazon first refused to publish a book skeptical of the mainstream narrative"" makes biased "
"public.us-east-1.A1GWEENWSTM5Z","7","The ""OK"" hand gesture is among the 36 new entries added Thursday to a database of hate symbols used by white supremacists and other far-right extremists.","Biased","Thursday to a database of hate symbols used by white supremacists and other far-right extremists."
"public.us-east-1.A2NX8I06A12P3I","7","The ""OK"" hand gesture is among the 36 new entries added Thursday to a database of hate symbols used by white supremacists and other far-right extremists.","Biased","It's biased because it cites a political side, in this case the far-right extremists and white supremacists, this can influence the opinion of readers to believe that only these people use this gesture qualified as a ""symbol of hate"""
"public.us-east-1.A1D321NM47DMJ0","3","In the dominant political fight in D.C., Donald Trump wants a giant wall along the U.S./Mexico border.","Unbiased","it is unbiased."
"public.us-east-1.A2H2DJL45BZBD","3","In the dominant political fight in D.C., Donald Trump wants a giant wall along the U.S./Mexico border.","Unbiased","It is something that Donald Trump has said himself, he would like to build a giant wall along the border. A quote showing no clear sign of bias."
"public.us-east-1.A2CFI1X8OKYIL2","9","But last Wednesday, when the Heritage Clinic for Women in Grand Rapids, Michigan, opened in the morning, the staff were startled to find 25 to 30 protesters assembling, many of them holding single red roses. Ignoring the no-trespassing signs, they began swarming the clinic’s parking lot, rushing patients as they got out of their cars.","Unbiased","The statement is describing an event and what transpires there, without referring to it as good or bad, so I would say it's unbiased."
"public.us-east-1.A2NX8I06A12P3I","9","But last Wednesday, when the Heritage Clinic for Women in Grand Rapids, Michigan, opened in the morning, the staff were startled to find 25 to 30 protesters assembling, many of them holding single red roses. Ignoring the no-trespassing signs, they began swarming the clinic’s parking lot, rushing patients as they got out of their cars.","Unbiased","It is not biased, as it is not an influential text, it just quotes a news."
"public.us-east-1.A1V2H0UF94ATWY","5","Her proposal brings into sharp focus conservatives’ crusade to legislate control of women’s bodies through restrictive abortion bills and other measures that undermine reproductive rights.","Biased","The statement is somewhat biased in that it implies that convervatives are focused on a crusade to legislate control over women's bodies."
"public.us-east-1.A2ZM10511OH8WY","5","Her proposal brings into sharp focus conservatives’ crusade to legislate control of women’s bodies through restrictive abortion bills and other measures that undermine reproductive rights.","Biased","A crusade normally refer to a religious war. Saying here that the conservatives are on a crusade on this topic, without giving much explanation (about why it's a religious war), is biased."
"public.us-east-1.A3AM8ZUWRFM6KU","5","For twenty days, from the day the first death from coronavirus was known, Democrats did nothing about it. They were too busy with the president’s impeachment trial — a trial Pelosi had delayed unnecessarily for several weeks.","Unbiased","unbiased"
"public.us-east-1.A2CFI1X8OKYIL2","5","For twenty days, from the day the first death from coronavirus was known, Democrats did nothing about it. They were too busy with the president’s impeachment trial — a trial Pelosi had delayed unnecessarily for several weeks.","Biased","Although this statement does contain factual information, it gives an opinion about Pelosi's behavior and clearly shows a dislike for Democrats, so I would consider it biased."
"public.us-east-1.A2B1YSMEHN1G2K","4","Banks lamented that China has now become a partisan issue simply because Trump has blamed China for trying to hide the discovery of the coronavirus in Wuhan, China, and allowing it to spread to the rest of the world.","Biased","They explicitly mentioned blame on Trump for the spread of coronavirus."
"public.us-east-1.AGZ3QJFK1BR8V","4","Banks lamented that China has now become a partisan issue simply because Trump has blamed China for trying to hide the discovery of the coronavirus in Wuhan, China, and allowing it to spread to the rest of the world.","Unbiased","the good"
"public.us-east-1.A3I3IFFQW3CB1P","5","After dozens of mass shootings in recent years, however, including at schools like the February 2018 massacre in Parkland, Florida, that left 17 dead, curbing gun violence has become a component of the Democratic policy platform embraced by congressional and presidential candidates.","Biased","an expelled student entered Parkland, Florida's Marjory Stoneman Douglas High School and opened fire, killing 17 people and wounding 17"
"public.us-east-1.A2NX8I06A12P3I","5","After dozens of mass shootings in recent years, however, including at schools like the February 2018 massacre in Parkland, Florida, that left 17 dead, curbing gun violence has become a component of the Democratic policy platform embraced by congressional and presidential candidates.","Biased","Biased. It links the news to the Democratic candidates, influencing an opinion on these specific candidates."
"public.us-east-1.AXVNUJU9GDHHY","2","By forcing us to abandon our regular routines and habits, if not our livelihoods, the pandemic has led us to postpone many of the activities from which we derive joy and pleasure. Our society often operates under the premise of instant gratification, a concept that has gone out the window given the uncertainty surrounding the virus.","Unbiased","This statement was not biased, this statement contains the situation of the curfew."
"public.us-east-1.AGAT893M4QLHD","2","By forcing us to abandon our regular routines and habits, if not our livelihoods, the pandemic has led us to postpone many of the activities from which we derive joy and pleasure. Our society often operates under the premise of instant gratification, a concept that has gone out the window given the uncertainty surrounding the virus.","Biased","This is should be totally biased towards the pandemic."
"public.us-east-1.A31JKAMYB4IB7","9","Like many Americans also crippled by student loans, Brewster’s been making sacrifices since she graduated: She put off her wedding for two years and once she and her husband, Ryan, finally got married in November 2018, they decided they couldn’t afford a honeymoon.","Biased","I loved their sacrifice. "
"public.us-east-1.A2ZM10511OH8WY","9","Like many Americans also crippled by student loans, Brewster’s been making sacrifices since she graduated: She put off her wedding for two years and once she and her husband, Ryan, finally got married in November 2018, they decided they couldn’t afford a honeymoon.","Unbiased","Everything there is verifiable and trustable. Unbiased."
"public.us-east-1.A2HMEGTAFO0CS8","9","Proponents of stricter protections for students argue the DOE’s recent rollback of Obama-era rules aimed at protecting students from predatory for-profit colleges will only lead to even more student defaulting on their loans.","Biased","protections for students is very biased "
